ano,grupo_trat,n,prop
2019,HER2 (Trastuzumabe),13603,0.03012459086097467
2019,Hormonal (Aromatase),182138,0.4033546078244655
2019,Hormonal (Tamoxifeno),150575,0.3334566102250431
2019,Outros,54751,0.12124909756886158
2019,Quimioterapia (AC),36543,0.08092648120507222
2019,Quimioterapia (Taxano),13948,0.030888612315582938
2023,HER2 (Trastuzumabe),15019,0.0310981998285551
2023,Hormonal (Aromatase),221033,0.4576688463083441
2023,Hormonal (Tamoxifeno),128227,0.26550561751222684
2023,Outros,63826,0.13215751396613343
2023,Quimioterapia (AC),35805,0.0741374954964655
2023,Quimioterapia (Taxano),19044,0.039432326888275075
